DATE,QTAXTOTALQTAXCAT1USNO
1992-01-01,135822
1992-04-01,144154
1992-07-01,130322
1992-10-01,158733
1993-01-01,144699
1993-04-01,150412
1993-07-01,139186
1993-10-01,159318
1994-01-01,154049
1994-04-01,151821
1994-07-01,142333
1994-10-01,167533
1995-01-01,157896
1995-04-01,161701
1995-07-01,149534
1995-10-01,178442
1996-01-01,170544
1996-04-01,175449
1996-07-01,161924
1996-10-01,188453
1997-01-01,180444
1997-04-01,186031
1997-07-01,170327
1997-10-01,197603
1998-01-01,190315
1998-04-01,202369
1998-07-01,174161
1998-10-01,207206
1999-01-01,196889
1999-04-01,208627
1999-07-01,183337
1999-10-01,223852
2000-01-01,215048
2000-04-01,230440
2000-07-01,192487
2000-10-01,237412
2001-01-01,222853
2001-04-01,235918
2001-07-01,195374
2001-10-01,240101
2002-01-01,221818
2002-04-01,230568
2002-07-01,200908
2002-10-01,250397
2003-01-01,227915
2003-04-01,229583
2003-07-01,218266
2003-10-01,268473
2004-01-01,245894
2004-04-01,253143
2004-07-01,230688
2004-10-01,295676
2005-01-01,268565
2005-04-01,289080
2005-07-01,251878
2005-10-01,320314
2006-01-01,289134
2006-04-01,316468
2006-07-01,263937
2006-10-01,340479
2007-01-01,305855
2007-04-01,336925
2007-07-01,273650
2007-10-01,358394
2008-01-01,311635
2008-04-01,351774
2008-07-01,285686
2008-10-01,370456
2009-01-01,305960
2009-04-01,314608
2009-07-01,271984
2009-10-01,372468
2010-01-01,306065
2010-04-01,321866
2010-07-01,283595
2010-10-01,377885
2011-01-01,264108
2011-04-01,281314
2011-07-01,236272
2011-10-01,335493
2012-01-01,270271
2012-04-01,290414
2012-07-01,247756
2012-10-01,344752
2013-01-01,288466
2013-04-01,315175
2013-07-01,265599
2013-10-01,353829
2014-01-01,294808
2014-04-01,317085
2014-07-01,272457
2014-10-01,374781
2015-01-01,307867
2015-04-01,340857
2015-07-01,288212
2015-10-01,392240
2016-01-01,317621
2016-04-01,340944
2016-07-01,295171
2016-10-01,400624
2017-01-01,329898
2017-04-01,346669
2017-07-01,306741
2017-10-01,437975
2018-01-01,353338
2018-04-01,368793
2018-07-01,319562
2018-10-01,438130
2019-01-01,370805
2019-04-01,412379
2019-07-01,340369
2019-10-01,465255
2020-01-01,384491
2020-04-01,335157
2020-07-01,400619
2020-10-01,496826
2021-01-01,424786
2021-04-01,478454
2021-07-01,386437.0
2021-10-01,561236.0
2022-01-01,492872.0
2022-04-01,546239.0
2022-07-01,409784.0
2022-10-01,587107.0
2023-01-01,478041.0
2023-04-01,487505.0
